Sorted multisurf Scores
Haemoglobin (g/dL),0.10586439012795758
Alkaline phosphatase (U/L),0.09525211022604378
Liver Metastasis,0.09315260478175079
Performance Status*,0.08731126637369852
Oxygen Saturation (%),0.08648572297798901
Albumin (mg/dL),0.07407504249769815
Iron,0.06832565837661281
Portal Vein Thrombosis,0.06646395501644232
Number of Nodules,0.05774689757509585
Gamma glutamyl transferase (U/L),0.047998810321779155
Ascites degree*,0.04613926398236487
International Normalised Ratio*,0.03956413800935407
Major dimension of nodule (cm),0.03494197880077036
Mean Corpuscular Volume,0.03419856036429052
Aspartate transaminase (U/L),0.027840718538313748
Alanine transaminase (U/L),0.02142012232356467
Hepatitis C Virus Antibody,0.020034601246819543
Symptoms ,0.01657403133553453
Diabetes,0.016490555534601287
Direct Bilirubin (mg/dL),0.015994938169216842
Ferritin (ng/mL),0.015416746934699369
Platelets,0.009158126830806556
Hepatitis B Surface Antigen,0.006485526109377566
Packs of cigarets per year,0.006103633923091848
Total Bilirubin(mg/dL),0.0058240875354432856
Arterial Hypertension,0.0031664036347835546
Alpha-Fetoprotein (ng/mL),0.002454098545323677
Total Proteins (g/dL),0.001747739455104648
Endemic Countries,7.95842866092737e-05
Age at diagnosis,-0.00021041968790395655
Hepatitis B e Antigen,-0.00034982174688057046
Human Immunodeficiency Virus,-0.0010456987572975032
Chronic Renal Insufficiency,-0.002869643356872456
Encephalopathy degree*,-0.005519183763996727
Hemochromatosis,-0.005875294695472842
Cirrhosis,-0.0068070677617360605
Creatinine (mg/dL),-0.00928221766575948
Obesity,-0.01325076093486998
Leukocytes(G/L),-0.017756422033492245
Nonalcoholic Steatohepatitis,-0.018184087025723324
Portal Hypertension,-0.02112798162120435
Gender,-0.027352753450355066
Esophageal Varices,-0.027798264878004072
Smoking,-0.03101653859612894
Alcohol,-0.03294073816028608
Hepatitis B Core Antibody,-0.03351066259494749
Radiological Hallmark,-0.034691877407459056
Grams of Alcohol per day,-0.04241793116203547
Splenomegaly,-0.053848749313173246
