Sorted multisurf Scores
Alkaline phosphatase (U/L),0.14446024410536365
Haemoglobin (g/dL),0.10546303914887456
Ferritin (ng/mL),0.08859164573450923
Performance Status*,0.06401132282245442
Aspartate transaminase (U/L),0.062157125802779316
Oxygen Saturation (%),0.06190085053294185
Ascites degree*,0.05980234307309561
Diabetes,0.059403734936611684
Iron,0.05676198345938813
Alpha-Fetoprotein (ng/mL),0.0554936206685137
Direct Bilirubin (mg/dL),0.05496996312159509
Total Bilirubin(mg/dL),0.05342264997983214
Liver Metastasis,0.04765746152729817
Hepatitis C Virus Antibody,0.04553761958396627
Symptoms ,0.04118274166204362
Albumin (mg/dL),0.02960729139161406
Age at diagnosis,0.028239018607754938
Major dimension of nodule (cm),0.02820683112514078
Portal Vein Thrombosis,0.027496056984475305
Gamma glutamyl transferase (U/L),0.02738073832264302
Mean Corpuscular Volume,0.026418792040256045
Chronic Renal Insufficiency,0.023096535421454418
Platelets,0.022390585067637882
International Normalised Ratio*,0.010010041396896112
Alanine transaminase (U/L),0.007410544290509608
Packs of cigarets per year,0.006964597804039806
Cirrhosis,0.006071877846984912
Creatinine (mg/dL),0.003975185276813658
Leukocytes(G/L),0.00026558742456568064
Hepatitis B Surface Antigen,0.00025269385642638284
Hepatitis B e Antigen,0.0
Human Immunodeficiency Virus,-0.0009460101550703996
Hepatitis B Core Antibody,-0.004034006446778222
Total Proteins (g/dL),-0.004068226097693712
Endemic Countries,-0.006423823266074688
Grams of Alcohol per day,-0.006483744123561108
Nonalcoholic Steatohepatitis,-0.007431827542141702
Esophageal Varices,-0.009256748123951377
Smoking,-0.0106239891500929
Encephalopathy degree*,-0.01083064909466817
Hemochromatosis,-0.01321315426895762
Obesity,-0.014040945531796275
Number of Nodules,-0.014226093823049138
Portal Hypertension,-0.019881312341462946
Radiological Hallmark,-0.022782826480237467
Arterial Hypertension,-0.027120043849674213
Alcohol,-0.02982131119805862
Gender,-0.03401149371013321
Splenomegaly,-0.04772835435619225
